policy_id,policy_text,intent,protocol,port,source_ip,dest_ip,source_zone,destination_zone,direction,time_constraint,exception_logic,priority,asset_sensitivity,exposure_type,risk_label,firewall_rule,source
P011,Allow HTTPS service to web server 11,allow,tcp,443,10.0.0.0/24,10.0.1.11,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.11 -j ACCEPT,csv
P021,Allow HTTPS service to web server 21,allow,tcp,443,10.0.0.0/24,10.0.1.21,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.21 -j ACCEPT,csv
P031,Allow HTTPS service to web server 31,allow,tcp,443,10.0.0.0/24,10.0.1.31,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.31 -j ACCEPT,csv
P041,Allow HTTPS service to web server 41,allow,tcp,443,10.0.0.0/24,10.0.1.41,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.41 -j ACCEPT,csv
P051,Allow HTTPS service to web server 51,allow,tcp,443,10.0.0.0/24,10.0.1.51,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.51 -j ACCEPT,csv
P061,Allow HTTPS service to web server 61,allow,tcp,443,10.0.0.0/24,10.0.1.61,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.61 -j ACCEPT,csv
P071,Allow HTTPS service to web server 71,allow,tcp,443,10.0.0.0/24,10.0.1.71,internal,dmz,incoming,,,2,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.71 -j ACCEPT,csv
P076,Allow SSH during office hours to admin server 76,allow,tcp,22,10.0.0.0/24,10.0.2.76,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.76 -j ACCEPT,csv
P077,Allow SSH during office hours to admin server 77,allow,tcp,22,10.0.0.0/24,10.0.2.77,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.77 -j ACCEPT,csv
P078,Allow SSH during office hours to admin server 78,allow,tcp,22,10.0.0.0/24,10.0.2.78,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.78 -j ACCEPT,csv
P079,Allow SSH during office hours to admin server 79,allow,tcp,22,10.0.0.0/24,10.0.2.79,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.79 -j ACCEPT,csv
P080,Allow SSH during office hours to admin server 80,allow,tcp,22,10.0.0.0/24,10.0.2.80,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.80 -j ACCEPT,csv
P081,Allow SSH during office hours to admin server 81,allow,tcp,22,10.0.0.0/24,10.0.2.81,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.81 -j ACCEPT,csv
P082,Allow SSH during office hours to admin server 82,allow,tcp,22,10.0.0.0/24,10.0.2.82,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.82 -j ACCEPT,csv
P083,Allow SSH during office hours to admin server 83,allow,tcp,22,10.0.0.0/24,10.0.2.83,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.83 -j ACCEPT,csv
P084,Allow SSH during office hours to admin server 84,allow,tcp,22,10.0.0.0/24,10.0.2.84,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.84 -j ACCEPT,csv
P085,Allow SSH during office hours to admin server 85,allow,tcp,22,10.0.0.0/24,10.0.2.85,internal,admin,incoming,09:00-17:00,,2,critical,restricted,low,iptables -A INPUT -p tcp --dport 22 -d 10.0.2.85 -j ACCEPT,csv
P002,Allow HTTPS service to web server 2,allow,tcp,443,10.0.0.0/24,10.0.1.2,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.2 -j ACCEPT,csv
P012,Allow HTTPS service to web server 12,allow,tcp,443,10.0.0.0/24,10.0.1.12,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.12 -j ACCEPT,csv
P022,Allow HTTPS service to web server 22,allow,tcp,443,10.0.0.0/24,10.0.1.22,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.22 -j ACCEPT,csv
P032,Allow HTTPS service to web server 32,allow,tcp,443,10.0.0.0/24,10.0.1.32,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.32 -j ACCEPT,csv
P042,Allow HTTPS service to web server 42,allow,tcp,443,10.0.0.0/24,10.0.1.42,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.42 -j ACCEPT,csv
P052,Allow HTTPS service to web server 52,allow,tcp,443,10.0.0.0/24,10.0.1.52,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.52 -j ACCEPT,csv
P062,Allow HTTPS service to web server 62,allow,tcp,443,10.0.0.0/24,10.0.1.62,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.62 -j ACCEPT,csv
P072,Allow HTTPS service to web server 72,allow,tcp,443,10.0.0.0/24,10.0.1.72,internal,dmz,incoming,,,3,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.72 -j ACCEPT,csv
P086,Allow HTTPS except admin IP to server 86,allow,tcp,443,any,10.0.3.86,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.86 -j ACCEPT,csv
P087,Allow HTTPS except admin IP to server 87,allow,tcp,443,any,10.0.3.87,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.87 -j ACCEPT,csv
P088,Allow HTTPS except admin IP to server 88,allow,tcp,443,any,10.0.3.88,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.88 -j ACCEPT,csv
P089,Allow HTTPS except admin IP to server 89,allow,tcp,443,any,10.0.3.89,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.89 -j ACCEPT,csv
P090,Allow HTTPS except admin IP to server 90,allow,tcp,443,any,10.0.3.90,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.90 -j ACCEPT,csv
P091,Allow HTTPS except admin IP to server 91,allow,tcp,443,any,10.0.3.91,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.91 -j ACCEPT,csv
P092,Allow HTTPS except admin IP to server 92,allow,tcp,443,any,10.0.3.92,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.92 -j ACCEPT,csv
P093,Allow HTTPS except admin IP to server 93,allow,tcp,443,any,10.0.3.93,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.93 -j ACCEPT,csv
P094,Allow HTTPS except admin IP to server 94,allow,tcp,443,any,10.0.3.94,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.94 -j ACCEPT,csv
P095,Allow HTTPS except admin IP to server 95,allow,tcp,443,any,10.0.3.95,public,dmz,incoming,,except 192.168.1.10,3,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.3.95 -j ACCEPT,csv
P003,Allow HTTPS service to web server 3,allow,tcp,443,10.0.0.0/24,10.0.1.3,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.3 -j ACCEPT,csv
P013,Allow HTTPS service to web server 13,allow,tcp,443,10.0.0.0/24,10.0.1.13,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.13 -j ACCEPT,csv
P023,Allow HTTPS service to web server 23,allow,tcp,443,10.0.0.0/24,10.0.1.23,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.23 -j ACCEPT,csv
P033,Allow HTTPS service to web server 33,allow,tcp,443,10.0.0.0/24,10.0.1.33,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.33 -j ACCEPT,csv
P043,Allow HTTPS service to web server 43,allow,tcp,443,10.0.0.0/24,10.0.1.43,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.43 -j ACCEPT,csv
P053,Allow HTTPS service to web server 53,allow,tcp,443,10.0.0.0/24,10.0.1.53,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.53 -j ACCEPT,csv
P063,Allow HTTPS service to web server 63,allow,tcp,443,10.0.0.0/24,10.0.1.63,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.63 -j ACCEPT,csv
P073,Allow HTTPS service to web server 73,allow,tcp,443,10.0.0.0/24,10.0.1.73,internal,dmz,incoming,,,4,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.73 -j ACCEPT,csv
P004,Allow HTTPS service to web server 4,allow,tcp,443,10.0.0.0/24,10.0.1.4,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.4 -j ACCEPT,csv
P014,Allow HTTPS service to web server 14,allow,tcp,443,10.0.0.0/24,10.0.1.14,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.14 -j ACCEPT,csv
P024,Allow HTTPS service to web server 24,allow,tcp,443,10.0.0.0/24,10.0.1.24,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.24 -j ACCEPT,csv
P034,Allow HTTPS service to web server 34,allow,tcp,443,10.0.0.0/24,10.0.1.34,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.34 -j ACCEPT,csv
P044,Allow HTTPS service to web server 44,allow,tcp,443,10.0.0.0/24,10.0.1.44,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.44 -j ACCEPT,csv
P054,Allow HTTPS service to web server 54,allow,tcp,443,10.0.0.0/24,10.0.1.54,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.54 -j ACCEPT,csv
P064,Allow HTTPS service to web server 64,allow,tcp,443,10.0.0.0/24,10.0.1.64,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.64 -j ACCEPT,csv
P074,Allow HTTPS service to web server 74,allow,tcp,443,10.0.0.0/24,10.0.1.74,internal,dmz,incoming,,,5,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.74 -j ACCEPT,csv
P096,Allow SSH from any to database 96,allow,tcp,22,any,10.0.4.96,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.96 -j ACCEPT,csv
P097,Allow SSH from any to database 97,allow,tcp,22,any,10.0.4.97,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.97 -j ACCEPT,csv
P098,Allow SSH from any to database 98,allow,tcp,22,any,10.0.4.98,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.98 -j ACCEPT,csv
P099,Allow SSH from any to database 99,allow,tcp,22,any,10.0.4.99,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.99 -j ACCEPT,csv
P100,Allow SSH from any to database 100,allow,tcp,22,any,10.0.4.100,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.100 -j ACCEPT,csv
P101,Allow SSH from any to database 101,allow,tcp,22,any,10.0.4.101,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.101 -j ACCEPT,csv
P102,Allow SSH from any to database 102,allow,tcp,22,any,10.0.4.102,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.102 -j ACCEPT,csv
P103,Allow SSH from any to database 103,allow,tcp,22,any,10.0.4.103,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.103 -j ACCEPT,csv
P104,Allow SSH from any to database 104,allow,tcp,22,any,10.0.4.104,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.104 -j ACCEPT,csv
P105,Allow SSH from any to database 105,allow,tcp,22,any,10.0.4.105,public,database,incoming,,,5,critical,public,high,iptables -A INPUT -p tcp --dport 22 -d 10.0.4.105 -j ACCEPT,csv
P005,Allow HTTPS service to web server 5,allow,tcp,443,any,10.0.1.5,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.5 -j ACCEPT,csv
P015,Allow HTTPS service to web server 15,allow,tcp,443,any,10.0.1.15,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.15 -j ACCEPT,csv
P025,Allow HTTPS service to web server 25,allow,tcp,443,any,10.0.1.25,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.25 -j ACCEPT,csv
P035,Allow HTTPS service to web server 35,allow,tcp,443,any,10.0.1.35,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.35 -j ACCEPT,csv
P045,Allow HTTPS service to web server 45,allow,tcp,443,any,10.0.1.45,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.45 -j ACCEPT,csv
P055,Allow HTTPS service to web server 55,allow,tcp,443,any,10.0.1.55,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.55 -j ACCEPT,csv
P065,Allow HTTPS service to web server 65,allow,tcp,443,any,10.0.1.65,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.65 -j ACCEPT,csv
P075,Allow HTTPS service to web server 75,allow,tcp,443,any,10.0.1.75,public,dmz,incoming,,,6,high,public,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.75 -j ACCEPT,csv
P006,Allow HTTPS service to web server 6,allow,tcp,443,10.0.0.0/24,10.0.1.6,internal,dmz,incoming,,,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.6 -j ACCEPT,csv
P016,Allow HTTPS service to web server 16,allow,tcp,443,10.0.0.0/24,10.0.1.16,internal,dmz,incoming,,,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.16 -j ACCEPT,csv
P026,Allow HTTPS service to web server 26,allow,tcp,443,10.0.0.0/24,10.0.1.26,internal,dmz,incoming,,,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.26 -j ACCEPT,csv
P036,Allow HTTPS service to web server 36,allow,tcp,443,10.0.0.0/24,10.0.1.36,internal,dmz,incoming,,,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.36 -j ACCEPT,csv
P046,Allow HTTPS service to web server 46,allow,tcp,443,10.0.0.0/24,10.0.1.46,internal,dmz,incoming,,,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.46 -j ACCEPT,csv
P056,Allow HTTPS service to web server 56,allow,tcp,443,10.0.0.0/24,10.0.1.56,internal,dmz,incoming,,,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.56 -j ACCEPT,csv
P066,Allow HTTPS service to web server 66,allow,tcp,443,10.0.0.0/24,10.0.1.66,internal,dmz,incoming,,,7,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.66 -j ACCEPT,csv
P007,Allow HTTPS service to web server 7,allow,tcp,443,10.0.0.0/24,10.0.1.7,internal,dmz,incoming,,,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.7 -j ACCEPT,csv
P017,Allow HTTPS service to web server 17,allow,tcp,443,10.0.0.0/24,10.0.1.17,internal,dmz,incoming,,,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.17 -j ACCEPT,csv
P027,Allow HTTPS service to web server 27,allow,tcp,443,10.0.0.0/24,10.0.1.27,internal,dmz,incoming,,,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.27 -j ACCEPT,csv
P037,Allow HTTPS service to web server 37,allow,tcp,443,10.0.0.0/24,10.0.1.37,internal,dmz,incoming,,,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.37 -j ACCEPT,csv
P047,Allow HTTPS service to web server 47,allow,tcp,443,10.0.0.0/24,10.0.1.47,internal,dmz,incoming,,,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.47 -j ACCEPT,csv
P057,Allow HTTPS service to web server 57,allow,tcp,443,10.0.0.0/24,10.0.1.57,internal,dmz,incoming,,,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.57 -j ACCEPT,csv
P067,Allow HTTPS service to web server 67,allow,tcp,443,10.0.0.0/24,10.0.1.67,internal,dmz,incoming,,,8,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.67 -j ACCEPT,csv
P008,Allow HTTPS service to web server 8,allow,tcp,443,10.0.0.0/24,10.0.1.8,internal,dmz,incoming,,,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.8 -j ACCEPT,csv
P018,Allow HTTPS service to web server 18,allow,tcp,443,10.0.0.0/24,10.0.1.18,internal,dmz,incoming,,,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.18 -j ACCEPT,csv
P028,Allow HTTPS service to web server 28,allow,tcp,443,10.0.0.0/24,10.0.1.28,internal,dmz,incoming,,,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.28 -j ACCEPT,csv
P038,Allow HTTPS service to web server 38,allow,tcp,443,10.0.0.0/24,10.0.1.38,internal,dmz,incoming,,,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.38 -j ACCEPT,csv
P048,Allow HTTPS service to web server 48,allow,tcp,443,10.0.0.0/24,10.0.1.48,internal,dmz,incoming,,,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.48 -j ACCEPT,csv
P058,Allow HTTPS service to web server 58,allow,tcp,443,10.0.0.0/24,10.0.1.58,internal,dmz,incoming,,,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.58 -j ACCEPT,csv
P068,Allow HTTPS service to web server 68,allow,tcp,443,10.0.0.0/24,10.0.1.68,internal,dmz,incoming,,,9,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.68 -j ACCEPT,csv
P009,Allow HTTPS service to web server 9,allow,tcp,443,10.0.0.0/24,10.0.1.9,internal,dmz,incoming,,,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.9 -j ACCEPT,csv
P019,Allow HTTPS service to web server 19,allow,tcp,443,10.0.0.0/24,10.0.1.19,internal,dmz,incoming,,,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.19 -j ACCEPT,csv
P029,Allow HTTPS service to web server 29,allow,tcp,443,10.0.0.0/24,10.0.1.29,internal,dmz,incoming,,,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.29 -j ACCEPT,csv
P039,Allow HTTPS service to web server 39,allow,tcp,443,10.0.0.0/24,10.0.1.39,internal,dmz,incoming,,,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.39 -j ACCEPT,csv
P049,Allow HTTPS service to web server 49,allow,tcp,443,10.0.0.0/24,10.0.1.49,internal,dmz,incoming,,,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.49 -j ACCEPT,csv
P059,Allow HTTPS service to web server 59,allow,tcp,443,10.0.0.0/24,10.0.1.59,internal,dmz,incoming,,,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.59 -j ACCEPT,csv
P069,Allow HTTPS service to web server 69,allow,tcp,443,10.0.0.0/24,10.0.1.69,internal,dmz,incoming,,,10,high,restricted,medium,iptables -A INPUT -p tcp --dport 443 -d 10.0.1.69 -j ACCEPT,csv
P106,Block all incoming traffic rule 1,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P107,Block all incoming traffic rule 2,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P108,Block all incoming traffic rule 3,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P109,Block all incoming traffic rule 4,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P110,Block all incoming traffic rule 5,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P111,Block all incoming traffic rule 6,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P112,Block all incoming traffic rule 7,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P113,Block all incoming traffic rule 8,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P114,Block all incoming traffic rule 9,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
P115,Block all incoming traffic rule 10,deny,all,0,any,any,public,internal,incoming,,,10,high,public,low,iptables -A INPUT -j DROP,csv
M1_001,Allow HTTP traffic from any source to web server on port 80,allow,tcp,80,any,192.168.1.10,external,internal,inbound,,,11,medium,public,medium,iptables -A INPUT -p tcp -d 192.168.1.10 --dport 80 -j ACCEPT,m1
M1_002,Allow HTTPS traffic from any source to web server on port 443,allow,tcp,443,any,192.168.1.10,external,internal,inbound,,,12,medium,public,medium,iptables -A INPUT -p tcp -d 192.168.1.10 --dport 443 -j ACCEPT,m1
M1_003,Deny all telnet connections on port 23 from external network,deny,tcp,23,0.0.0.0/0,any,external,external,inbound,,,13,low,public,low,iptables -A INPUT -p tcp -s 0.0.0.0/0 --dport 23 -j DROP,m1
M1_005,Allow SSH access from internal network 10.0.0.0/8 only,allow,tcp,22,10.0.0.0/8,any,internal,external,inbound,,,14,high,public,medium,iptables -A INPUT -p tcp -s 10.0.0.0/8 --dport 22 -j ACCEPT,m1
M1_006,Deny FTP traffic from external sources on port 21,deny,tcp,21,0.0.0.0/0,any,external,external,inbound,,,15,low,public,low,iptables -A INPUT -p tcp -s 0.0.0.0/0 --dport 21 -j DROP,m1
